순번,질문,답변
0,인바디검사는 언제부터 할 수 있을까요? 코로나 얼른 끝났으면..ㅠㅠ," 헬스케어센터 내에서 실시하는 인바디검사에 대한 문의가 종종 들어옵니다. 많은 학생분이 기다리고 계셨던 것 같아요.
 본론을 말씀드리면 코로나 1.5단계 이하부터 평일 오전 4시 이전에 실시 가능합니다. 2단계부터 검사를 제한하고 있으며. 이러한 조치는 방문자들의 접촉을 최소화하기 위함입니다. 상황이 여의치 않더라도 우리 모두를 위한 조치이니 양해 부탁드립니다~"
1,심리. 정신 전문가분들은 상대방의 시선. 손짓. 몸짓 등으로 거짓말 구별이 가능한가요?," 미드 <라이 투 미>의 라이트만 박사는 상대방의 눈동자 움직임에서부터 얼굴 전체의 미세한 표정 변화. 몸동작이나 손짓 등의 제스처를 통해 상대방의 마음을 들여다보기 위한 기술을 사용합니다. 이 기술을 “마이크로 익스프레션”이라고 하는데. 사람의 심리를 공부하다 보면 반응에 대해 더욱 민감하게 관찰하기 때문에 어느 정도 알아차릴 수 있기는 하지만 드라마에서처럼 정확하게 알아채는 것은 사실상 굉장히 어렵고. 학문적 정확성도 충분하지 않습니다. 실례로 미국에서 테러리스트를 구별하기 위해 1조 원을
들여 전문인력을 양성했지만 뚜렷한 성과가 없었다는 보고도 있었고요.
 하지만 최근 제가 본 영상에 의하면 고도의 민감성. 관찰력. 통찰력을 기른 전문가가 몇 가지 질문을 통해 판단의 근거를 가질 수 있다면 가능한 것 같기도 합니다. 굉장히 흥미로운 영상이니 추천해드립니다! 
*추천 영상 ‘그것이 알고 싶다 <마피아 게임>’ 편"
2,본가가 울산에서 멀리 떨어져 있어 학기 중 집에 가기 어려워요. 힘들게 공부하다 보면 가족들과 집이 너무 그리워서 힘들어요. ," 윤이 님의 질문을 통해 힘든 상황 속에서 가족이 주는 따뜻함과 안정감이 얼마나 필요하셨을까 생각해봅니다. 현재 상황에서 가족을 통해서 채울 수 없음을 먼저 수용해야 합니다. 그 후 지금 여기서 내 마음에 안정감을 줄 방법을 몇 가지 추천해 드려볼게요. ㅁ 윤이 님을 지지해 줄 다른 대상 찾기 ㅁ 대상이 마땅치 않다면. 취미나 여가생활 가지기 ㅁ 마음의 평안을 주는 명상 앱 <마보> 활용하기  
*<마보>는 UNIST 구성원들이 사용할 수 있는 이용권을 배부해드립니다.  헬스케어센터에 신청해주세요! (217-4011@unist.ac.kr)"
3,졸업을 앞둔 학부생입니다. 상담 관련 대학원 진학을 원합니다. 혹시 추천받을 수 있나요? , 어떤 학교를 콕 집어 추천해 드리는 건 너무 어렵네요.... 다른 계열의 대학원을 선택하실 때 고려하실 내용과 크게 다르지는 않습니다. 교수님의 인품과 지도력. 교수님의 이론적 기반. 연구실 분위기. 인건비. 과제량. 선배들의 취업 경향성. 커리큘럼. 그리고 상담사 양성에 교육의 중점을 두었는지. 상담 관련 연구에 중점을 두었는지 등 대학원 운영방침도 잘 살펴보셔요. 또한. 심리학과 대학원은 전공생을 선호하는 경향이 있어 비전공자도 입학할 수 있는 곳인지 먼저 확인하시는 게 중요합니다. 심리학과 외에도 교육학. 특수대학원 등 다른 루트를 통한 상담 공부도 가능한 점 참고하세요. 끝으로 상담 관련 대학이나 대학원 진학을 희망하는 분들께 드리는 말씀이 있습니다. 자신이나 주변 사람들을 통해 상담의 좋은 경험을 나누고 싶은 아름다운 마음이지 않을까 생각합니다. 정말로 길고 긴 상담사의 길을 가고 싶은지. 아니면 도움을 더 받고 싶은 건 아닌지 탐색해보세요!
4,전 밝고 긍정적이며 사람들과 잘 어울리며 칭찬과 관심받는 걸 좋아해요. 근데 저에 대한 작은 비판. 충고를 들으면 수치심이 느껴져 힘들어요. 어떻게 하면 비판이나 충고도 잘 받아들일 수 있을까요?,"사람은 매 순간 수치심. 죄책감 같은 힘든 감정을 느끼고 분투하며 살아갑니다. 매우 자연스러운 감정 경험이자 성장의 밑거름이 됩니다. 이런 감정이 들 때 ‘느낄 수도 있다’라고 생각하면 감정을 들여다보고 해결하고 흘려보낼 여유가 생기지만. ‘절대 느끼고 싶지 않아!’라고 방어적인 태도를 보인다면 상황을 회피하거나 감정 처리를 제대로 하지 못해 경직된 반응을 보입니다. 타인의 피드백에 예민한 것에는 다양한 원인이 있지만. 어린 시절 윤이 님의 일부 행동만으로 존재 자체를 부정당하거나 부정적 감정을 경험했을 가능성이 있습니다. 예를 들어 ‘이것도 못하다니 형편없군‘. ‘이러면 사람들이 좋아하겠니?’ 식의 메시지를 통해서요. 비판과 충고는 윤이 님의 일부분에 대한 것이며 윤이 님 전체에 대한 평가가 아님을 기억하시면 좋겠습니다. 과거 메시지에 갇히지 않고 자유로워지기 위한 변화를 시도해볼 필요가 있습니다. 윤이 님이 이미 가지고 있는 장점들을 활용해서 “비판이나 충고도 잘 받아들이는 건강한 사람”이 되어보는 것을 목표로 하면 어떨까요? 
*추천 도서 [수치심의 치유(존 브래드쇼)] 
*추천 도서 [삶의 덫에서 벗어나 새로운 나를 열기(최영희 역)]"
5,누군가 제 의견이 틀렸다고 이야기하면 제 의견이 틀렸더라도 기분이 굉장히 나빠집니다. 솔직하게 감정을 표현하는 게 좋다고 생각했었는데 점점 갈등이 생겨 억누르는데 오히려 스트레스가 됩니다. ,"윤이 님의 의견이 틀렸다는 말을 들었을 때. 잠시 말을 멈추고 마음속에 어떤 감정이 드는지 탐색해볼 필요가 있습니다. 그리고 그 감정이 어디서부터 오는지 찾아봅니다. 예를 들어 서운하고 화가 나는 감정의 이유가 타인으로부터 부정당하는 것 같아서인지. 무시당하는 것 같아서인지. 거절당하는 것 같아서인지. 수치심이 들어서인지 자세히 들여다봅니다. 타인의 비난과 거절은 마음을 상하게 하는 일임에 분명하지만 어느 정도 걸러서 받아들일 줄 알아야 합니다. 어디까지 타인의 의견일 뿐이니까요. ‘아 당신은 그렇게 생각하시는군요.’라고 얼른 생각하며 부정적 감정에서 거리를 좀 두고 마음을 정리하는 시간을 가지십시오. 그렇게 하신다면 윤이 님의 감정으로 인해 느끼는 불편 함도. 부정적 감정을 표현함으로 발생하는 갈등으로 힘들어하는 일들도 줄어들고 이견을 조율할 수 있는 부드러운 카리스마가 생길 것입니다.
*추천 도서 [그러라 그래(양희은)]"
6,어릴 때는 타인의 말과 행동에 상처받거나 깊게 생각한 적이 없었어요. 나이가 들고 일을 할수록 타인의 말과 행동에 신경 쓰고. 제 말과 행동이 상처 주지 않을까 생각해 스트레스를 받고 있습니다. ,어릴 때는 ‘그냥 그러라지’ 하며 넘기고 금방 회복하던 것도 사회생활을 하게 되면서 그냥 넘기기 쉽지 않은 일이 되어버리는 경우가 있죠. 다른 사람과 자신이 하는 말과 행동에 신경을 쓰고. ‘상처 주지 않을까? 저 사람은 어떻게 저럴 수 있을까? 이해할 수 없어!’라고 생각하게 되기도 합니다. 왜냐하면 우리는 모두 사회적 동물이기 때문에 타인의 반응을 신경 쓰도록 설계되어 있기 때문입니다. 점점 지위가 생기고 책임이 커지면서 우리는 ‘괜찮은 사람. 수행이 좋은 사람. 매력적인 사람’ 등등 사람들에게 보이고 싶은 모습들이 생깁니다. 또한. ‘그런 사람’이 되기 위해 과거 나에게 상처가 되었던 말과 행동들을 하지 않기 위한 ‘자기검열’을 시작하게 됩니다. 검열할수록 불편해지고. 경직되는데 말이죠. 타인의 평가에 신경이 쓰이고 스트레스를 받으실 때 ‘어떤 나로 보이고 싶은가’에 대한 욕구를 먼저 파악하고 수용하는 과정이 필요합니다. 그리고 어느 정도까지 그러한 사람이 되고 싶은지. 어떤 부분에서는 덜 잘 보여도 되는지를 찾아가신다면 훨씬 편하게 지내실 수 있을 것입니다. 보다 느슨한 자기 검열 기준이 생기시길 바랍니다. 
7,평소 차분하지만 비꼬는 말이나 예의가 없는 표현 등에 급격히 기분이 나빠지고 욱! 하고 맙니다. 그러고 나면 후회되고 속상해서 컨트롤하고 싶은데..가능할까요? ,"  비꼬는 말이나 예의 없는 표현을 들으면 기분이 상하기 마련이죠. 이로 인해 욱하는 것으로 실생활에 불편함을 느끼신다면. 언제 또 욱하게 되지는 않을까 걱정되실 것 같습니다. 먼저. 욱하는 감정이 올라올 때 느끼는 자신만의 포인트가 있을 것입니다. 눈 밑이 떨린다든지. 머리가 하얘진다든지 등 그런 포인트가 인식되면 그 상황을 한 템포 늦추시며 잠깐 자신을 탐색해야 합니다. 지금 무슨 말 때문에 화가 나고 감정이 상했는지. 나의 어떤 부분이 건드려졌는지 살펴봅니다. 마지막으로 어떻게 상대에게 전달할지 결정합니다.
 예를 들어. 열심히 준비한 안건에 대해 ‘생각을 더 해보시고 안건 내세요.’ 식의 말을 들어서 감정이 욱! 올라온다면 3~5초 정도 숨을 크게 쉬며 자신에게 물어봅니다. ‘화난다. 준비한 건데 더 생각해보라니. 자기는 시키기만 하면서! 하아- 그래. 다른 사람들은 내지 않는 의견을 노력해서 준비해 갔는데. 내 노력이 헛된 것 같이 느껴져서 화가 나고 속상하네. 대체 뭐가 부족해서 그런 거지?’ 그리고 욱! 하는 대신 이렇게 말해봅니다. “생각해봤었는데 아쉬운 부분이 있는 것 같아 아쉽네요. 어떤 부분에 보완이 필요할까요?”"
8,무례한 사람과 함께 작업을 하면 기분이 나빠지고 쉽게 떨쳐낼 수 없고. 계속 생각나서 스트레스를 받아요. 현명하게 대처할 수 있는 방법과 기억나지 않게 떨쳐낼 수 있는 방법이 있나요?,"  사람들은 각자 자신만의 심리적 공간과 경계선이 있고. 이것이 침범당하는 것은 결코 유쾌한 일은 아닙니다. 경계를 침범하는 무례한 사람으로부터 윤이 님을 보호하는 해결책 중 하나는 상대방에게 윤이 님의 경계선을 알려주는 것입니다. 객관적 상황과 자신의 인식. 느낌을 분명히 전달하고 다른 대처를 요청하는 것이 가장 직접 적이고 효과가 큰 방법입니다. 타인에게 불편한 이야기를 하는 것은 어렵다는 생각에 선뜻 내키지 않으실 수 있지만. 나의 분명한 경계를 알려 주지 않고 상대방에게 알아차리라고 하는 것은 사실상 매우 어려운 일입니다. 진심을 담아 말씀해보세요. ‘목소리를 높이시고 거친 표현을 사용하시면 위협당하고 질책받는 것 같아서 무섭습니다. 조금만 진정하시고 말씀해주시면 감사하겠습니다.’
 또한 기분 나빴던 기억과 느낌을 잊어버리려 애쓰는 과정에서 오히려 더 반복적으로 떠올리고 구체화하는 모순이 있습니다. 따라서 상대와 그 사건이 윤이 님 삶에 미치는 영향력을 스스로 정하고. 윤이 님께 중요한 것. 소중한 것을 떠올리며 그것을 위해 시간과 에너지를 집중해 보시는 방법을 추천해 드립니다. "
9,연장자들이 조언인 것처럼 하며 마음을 불편하게 할 때. 힘들지만 피하지 못하고 수긍하는 저를 발견해요. 어떻게 대처할 수 있을까요? 그리고 가스라이팅이라는 건 어떻게 구별하나요? ,"  가스라이팅은 나이. 연차. 서열과 상관없이 가해자가 피해자보다 우위에 있다고 여겨지는 상황에서 발생할 수 있습니다. 피해자의 작은 실수나 오해받는 상황을 이용해서 상대를 좌지우지 조정하는 경우를 말하며. ‘네가 잘 모르니까 내가 안타까워서 알려주는 건데…’로 시작하는데. 도움을 받아서 고맙다는 느낌보다 불편한 마음으로 하고 싶지 않은 무언가를 하게 만든다면 조종당하는 경우일 가능성이 높습니다. 문제는 가해자가 의도하지 않고도 이런 상황이 발생할 수 있다는 것입니다. 만약 계속되는 상황이라면 조치를 취하거나 관계를 끊는 것이 좋습니다. 혹시 어쩌다 생기는 애매한 경우라면 편안한 친절은 받아들이고 불편한 상황이 생길 때는 거부할 수 있어야 합니다. “조언 감사합니다. 생각해볼게요.”라고 대응하고 상황을 끊어보는 것도 가능합니다. 내가 주인이 되어 내 행동을 결정한다면 그 조언과 같은 선택을 했더라도 불편한 느낌은 줄어들 것입니다. 다만. 상대는 친절하고 선택 가능한 조언을 했는데 내가 강요로 느꼈다면 다른 문제가 될 수도 있습니다. 
*추천 도서 [그것은 사랑이 아니다(로빈스턴)] 
*추천 도서 [무례한 사람에게 웃으며 대처하는 법(정문정)]"
